dataset,analysis_id,measure,k,estimate,se,pval,ci_lb,ci_ub,tau2,I2,significant,direction_fragile,direction_fragility_index,sig_fragile,sig_fragility_index,sig_fragility_type,clinical_fragile,clinical_fragility_index,max_effect_change,mean_effect_change,max_change_study_idx,ci_width,ci_width_change,composite_fragility,fragility_quotient,fragility_class,DFI_rate,SFI_rate,CFI_rate,MAFI_core,het_penalty,k_penalty,MAFI,MAFI_class
CD007784_pub3_data,13,OR,7,-0.242521107032893,0.330253953726247,0.462737082547658,-0.889806962088295,0.404764748022508,0,0,FALSE,FALSE,0,FALSE,0,gain,TRUE,2,0.162649173589773,0.0606124596902012,1,1.2945717101108,0.125649445725711,1,0,Low Fragility,0,0,0.285714285714286,0.0815402331813231,0,0.195,0.276540233181323,Low Fragility
CD007784_pub3_data,14,OR,13,0.144749985348016,0.201848049004366,0.473297878420592,-0.250864921050217,0.540364891746249,0.122917134957921,42.4730539432726,FALSE,TRUE,1,FALSE,0,gain,TRUE,2,0.25253532842105,0.0548741281920701,2,0.791229812796465,0.0506322995615395,2,0.0769230769230769,Moderate Fragility,0.0769230769230769,0,0.153846153846154,0.099418760801619,0.0849461078865452,0.105,0.289364868688164,Low Fragility
CD007784_pub3_data,17,OR,7,-0.136721231061723,0.625552540100543,0.82699223209089,-1.36278168009633,1.08933921797289,0,0,FALSE,TRUE,2,FALSE,0,gain,TRUE,3,0.368424493809411,0.151536688226479,5,2.45212089806922,0.20089380569712,2,0.285714285714286,Moderate Fragility,0.285714285714286,0,0.428571428571429,0.255263674071412,0,0.195,0.450263674071412,Moderate Fragility
CD007784_pub3_data,18,OR,27,-0.0381204264265779,0.390318719303875,0.922198412958282,-0.803131058753972,0.726890205900816,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.0305735975498239,0.00560505533456621,7,1.53002126465479,0.0291461206487625,0,0,Robust,0,0,0,0.00458603963247359,0,0,0.00458603963247359,Robust
CD007784_pub3_data,19,OR,24,-0.0456452060116126,0.413563899290401,0.912115640444749,-0.856215553926749,0.764925141903524,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.0341581879810699,0.00711369794995061,7,1.62114069583027,0.0348675688718134,0,0,Robust,0,0,0,0.00512372819716048,0,0,0.00512372819716048,Robust
CD007784_pub3_data,20,OR,20,-0.079703581538863,0.452993482260581,0.860334301882918,-0.967554492000985,0.80814732892326,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.0395374057455771,0.00906645793533667,4,1.77570182092425,0.0461301735375168,0,0,Robust,0,0,0,0.00593061086183656,0,0,0.00593061086183656,Robust
CD007784_pub3_data,21,OR,22,-0.0487247257794718,0.432278270181441,0.910255627380331,-0.895974566634371,0.798525115075427,0,0,FALSE,FALSE,0,FALSE,0,gain,FALSE,0,0.0373234839696883,0.00840794587924061,7,1.6944996817098,0.0398764533582672,0,0,Robust,0,0,0,0.00559852259545325,0,0,0.00559852259545325,Robust
CD007784_pub3_data,22,OR,12,-0.259492927876562,0.0395704610667265,5.46281206170499e-11,-0.337049606418991,-0.181936249334134,0,0,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0286633740408486,0.00792728460142228,9,0.155113357084857,0.017033490829763,0,0,Robust,0,0,0,0.00429950610612729,0,0.12,0.124299506106127,Robust
CD007784_pub3_data,23,OR,14,-0.423857519296464,0.05752609157605,1.7308768720005e-13,-0.536606586956875,-0.311108451636053,0.0126596586129824,39.8906618249691,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0393259215139435,0.0149835267058029,11,0.225498135320822,0.0146272288680524,0,0,Robust,0,0,0,0.00589888822709153,0.0797813236499382,0.09,0.17568021187703,Low Fragility
CD007784_pub3_data,24,OR,14,-0.423857519296464,0.05752609157605,1.73087687200049e-13,-0.536606586956875,-0.311108451636053,0.0126596586129824,39.8906618249691,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0393259215139438,0.014983526705803,11,0.225498135320822,0.0146272288680525,0,0,Robust,0,0,0,0.00589888822709157,0.0797813236499382,0.09,0.17568021187703,Low Fragility
