dataset,outcome_type,k,total_n,I2,information_fraction,het_adj_power,z_stability_approx,sequential_status,significant,IAI_final,IAI_final_class
CD014573_data,binary,12,1314910,0,,0.025,0.39612,unknown,FALSE,0.397586,Inadequate
CD014574_pub2_data,binary,35,1696,38.4,1.509,0.042,0.47878,futile,FALSE,0.541850568135233,Marginal
CD014580_pub2_data,binary,33,6122,83.8,0.311,0.03,0.3174,continue,FALSE,0.244986080119772,Critical
CD014585_pub2_data,binary,101,62799,86.7,3.651,1,0.7399,conclusive_harm,TRUE,0.920978614567064,Adequate
CD014594_pub2_data,binary,105,54379,76.5,2.479,0.222,0.54214,continue,FALSE,0.491070046338025,Inadequate
CD014617_pub3_data,binary,12,3080,18.8,2.244,0.081,0.37326,futile,FALSE,0.553787256398078,Marginal
CD014623_pub2_data,binary,5,195,0,0.105,0.126,0.3889,continue,FALSE,0.269184544696016,Inadequate
CD014624_pub2_data,binary,201,19945,7,8.293,1,0.979,conclusive_benefit,TRUE,0.993699907442742,Adequate
CD014666_pub2_data,binary,130,25180,4.1,0.741,0.224,0.7597,continue,FALSE,0.441174003875546,Inadequate
CD014678_pub2_data,binary,223,741544,64.9,6.418,0.507,0.62404,conclusive_benefit,TRUE,0.813258064440853,Adequate
CD014687_pub2_data,binary,38,2648,18.9,0.273,0.81,0.71752,continue,TRUE,0.479633345069993,Inadequate
CD014688_pub2_data,binary,13,2499,0,,0.079,0.43688,unknown,FALSE,0.417914,Inadequate
CD014713_pub2_data,binary,15,11421,47,3.533,0.036,0.28872,futile,FALSE,0.535762387258354,Marginal
CD014722_pub2_data,continuous,332,60444,93.4,11.358,1,0.7198,conclusive_harm,TRUE,0.915939999798542,Adequate
CD014736_pub2_data,binary,28,1463,4,0.141,0.065,0.53876,continue,FALSE,0.306803791137404,Inadequate
CD014741_pub2_data,binary,212,120056,10.2,8.203,0.186,0.73336,continue,FALSE,0.552907889188854,Marginal
CD014755_pub2_data,binary,10,813,0,0.195,0.032,0.3866,continue,FALSE,0.259097722715092,Inadequate
CD014758_pub3_data,binary,274,49458,0,,0.157,0.7573,unknown,FALSE,0.52574,Marginal
CD014762_pub2_data,binary,30,7370,89.3,0.658,0.063,0.29784,futile,FALSE,0.410875825912465,Inadequate
CD014763_pub2_data,binary,68,4933,39.5,0.715,0.948,0.7969,conclusive_harm,TRUE,0.803517364970232,Adequate
CD014769_pub2_data,binary,345,1790948,41.4,51.662,0.992,0.83734,conclusive_harm,TRUE,0.950002,Adequate
CD014785_pub2_data,binary,8,2846,16.8,0.346,0.027,0.31582,continue,FALSE,0.246360341787478,Critical
