dataset,outcome_type,k,total_n,avg_n_per_study,p_control,effect_logOR,se,pval,I2,tau2,OIS,information_fraction,het_adj_power,z_score,sequential_status,IAI,IAI_class,significant
CD015824_pub2_data,binary,90,18073,200.8,0.1596,-0.255,0.0707,0.000308626169581264,23.6,0.0762,4981,3.628,0.95,-3.608,conclusive_harm,0.933,Adequate,TRUE
CD015830_pub2_data,binary,2,30,15,0.1667,-1.161,1.187,0.328014303192574,0,0,3615,0.008,0.163,-0.978,continue,0.2073,Critical,FALSE
CD015849_pub2_data,binary,283,286932,1013.9,0.0532,-0.147,0.0308,1.83436959613264e-06,25.8,0.0322,17089,16.791,0.998,-4.771,conclusive_harm,0.9493,Adequate,TRUE
CD015854_data,binary,89,3191,35.9,0.1398,0.0634,0.117,0.588036463101869,0.4,0.0046,4450,0.717,0.078,0.542,futile,0.3583,Inadequate,FALSE
CD015855_data,binary,71,3361,47.3,0.2145,0.226,0.1303,0.0827030765100819,16.2,0.162,3183,1.056,0.411,1.735,continue,0.4445,Inadequate,FALSE
CD015875_data,binary,25,1540,61.6,0.1202,-0.1883,0.2275,0.408022998019739,0,0,5262,0.293,0.129,-0.827,continue,0.2268,Critical,FALSE
CD015877_data,continuous,7,235,33.6,,0.3693,0.2873,0.198624437431719,75.8,0.4365,1441,0.163,0.25,1.285,continue,0.2482,Critical,FALSE
CD015894_pub2_data,binary,28,1964,70.1,0.001,0.076,0.3778,0.840542676728591,0,0,743452,0.003,0.039,0.201,continue,0.1697,Critical,FALSE
CD015932_pub2_data,binary,79,115456,1461.5,0.3671,-0.355,0.0907,9.03044838550286e-05,94.1,0.2906,22085,5.228,0.975,-3.915,conclusive_harm,0.9423,Adequate,TRUE
CD015968_data,continuous,45,2830,62.9,,-0.0652,0.0378,0.0840495999319236,0,0,349,8.112,0.408,-1.728,continue,0.6324,Marginal,FALSE
CD016001_data,binary,31,1184,38.2,0.0418,-0.0435,0.2689,0.871502716518628,0,0,16324,0.073,0.036,-0.162,continue,0.1749,Critical,FALSE
CD016002_data,binary,51,3125,61.3,0.022,0.0954,0.2158,0.658499510924138,0,0,31645,0.099,0.065,0.442,continue,0.186,Critical,FALSE
CD016031_data,binary,200,26483,132.4,0.0913,-0.1349,0.0653,0.038797499432283,11.7,0.0736,8070,3.282,0.542,-2.066,conclusive_harm,0.8086,Adequate,TRUE
CD016058_pub2_data,binary,35,9615,274.7,0.2028,0.4353,0.1069,4.66308607718347e-05,52.3,0.1194,5986,1.606,0.983,4.072,conclusive_benefit,0.8531,Adequate,TRUE
CD016064_data,binary,573,213793,373.1,3e-04,-0.0423,0.0789,0.592401271458495,0,0,2060457,0.104,0.077,-0.535,continue,0.1902,Critical,FALSE
CD016119_data,continuous,89,20608,231.6,,0.4172,0.0726,8.98154725869183e-09,95.4,0.4367,7542,2.733,1,5.749,conclusive_benefit,0.9378,Adequate,TRUE
CD016120_data,binary,50,42581,851.6,0.0167,-0.2956,0.1805,0.101573793177605,38.3,0.264,67762,0.628,0.373,-1.637,continue,0.351,Inadequate,FALSE
CD016131_data,binary,70,556170,7945.3,0.0465,-0.4648,0.1229,0.000156221975080731,95.4,0.5032,320816,1.734,0.966,-3.781,conclusive_harm,0.8648,Adequate,TRUE
CD016136_data,binary,205,31671,154.5,0,-0.1099,0.1417,0.437770557179601,0,0,,,0.118,-0.776,unknown,0.3855,Inadequate,FALSE
CD016147_data,binary,32,3380,105.6,0.1857,-0.192,0.1401,0.17049217006237,29.1,0.153,4484,0.754,0.278,-1.371,continue,0.3451,Inadequate,FALSE
CD016148_data,binary,56,49070,876.2,0.251,-0.071,0.0457,0.120442071328982,19.6,0.0125,2720,18.038,0.342,-1.553,continue,0.6126,Marginal,FALSE
CD016168_data,binary,45,15983,355.2,0.1422,0.1054,0.1502,0.482842342083819,51.8,0.3038,9015,1.773,0.104,0.702,futile,0.551,Marginal,FALSE
CD016211_data,binary,37,440573,11907.4,0.0146,-0.2732,0.0883,0.00196150456902751,80.6,0.1211,247533,1.78,0.872,-3.096,conclusive_harm,0.8421,Adequate,TRUE
CD016278_data,binary,61,201533,3303.8,0.0491,-0.0606,0.043,0.158889007011738,33.8,0.0175,20872,9.655,0.291,-1.409,continue,0.5972,Marginal,FALSE
