"ma_id","review_id","analysis_id","effect_type","k","theta","se_std","se_hksj","se_ratio","ci_std_lo","ci_std_hi","ci_hksj_lo","ci_hksj_hi","ci_width_ratio","p_std","p_hksj","sig_std","sig_hksj","conclusion_changed","tau2","I2","R","R_cat","k_cat"
"CD015932_pub2_9","CD015932_pub2",9,"GIV",4,-12.8424570252086,9.69211421795484,9.83343764289258,1.01458127935347,-31.8386518264487,6.15373777603149,-44.1368443200698,18.4519302696526,1.64740294686904,0.185157268712696,0.282669212610915,FALSE,FALSE,FALSE,344.465301974277,95.0938892949333,0.296262809247622,"Very Low","4-5"
"CD015968_1","CD015968",1,"MD",4,-0.0683448657920528,0.0664273021128977,0.062193086844414,0.936257907008065,-0.198539985523494,0.0618502539393881,-0.266271025234247,0.129581293650141,1.52022717787322,0.303542129561169,0.35208872883364,FALSE,FALSE,FALSE,0.012707395085235,78.8127109470252,0.316974746090392,"Low","4-5"
"CD015968_10","CD015968",10,"MD",2,-5.05106840045772,4.48466213975883,1.44367873824227,0.321914715814001,-13.8408446772154,3.73870787629993,-23.3947460218264,13.292609220911,2.08693339213581,0.260039177441321,0.177231229958549,FALSE,FALSE,FALSE,0,0,0.999999999999942,"Excellent","2-3"
"CD015968_11","CD015968",11,"MD",2,-0.611123820122978,2.33427099308691,2.33427099308692,1,-5.18621089672988,3.96396325648392,-30.2708489679992,29.0486013277532,6.48287664283611,0.793471783128018,0.836988399489635,FALSE,FALSE,FALSE,4.76162830592991,23.2501382125484,0.436707473876128,"Low","2-3"
"CD015968_12","CD015968",12,"MD",2,-4.18370227706396,5.22011529681038,0.181642310088553,0.0347966088410998,-14.4149402539589,6.047535699831,-6.49168665780085,-1.87571789632708,0.225582122705871,0.422866647857733,0.0276225461777128,FALSE,TRUE,TRUE,0,0,0.999999999999996,"Excellent","2-3"
"CD015968_2","CD015968",2,"MD",5,0.0279219782430504,0.037111736080201,0.021362556262259,0.575628049738579,-0.0448156878778992,0.100659644364,-0.031389986525811,0.0872339430119118,0.815422984155641,0.451824996381772,0.261268807704068,FALSE,FALSE,FALSE,0,0,0.765138115837667,"High","4-5"
"CD015968_3","CD015968",3,"MD",3,-0.0346848564012807,0.744163172790972,0.653164296848294,0.877716501877689,-1.49321787369264,1.42384816089008,-2.84502400121048,2.77565428840792,1.92682586646429,0.962824692769619,0.962477089832504,FALSE,FALSE,FALSE,0.257019324376773,12.7713578281598,0.311279005060166,"Low","2-3"
"CD015968_4","CD015968",4,"MD",5,-0.562145281249904,0.681150389026049,0.566345401756249,0.83145427335958,-1.89717551179641,0.772884949296599,-2.13457219980732,1.01028163730751,1.17782120777425,0.409208070493786,0.377096736938118,FALSE,FALSE,FALSE,0,0,0.67838231255257,"Moderate","4-5"
"CD015968_5","CD015968",5,"MD",4,-1.53373293633718,0.95530848362954,0.812955367958666,0.850987279909808,-3.40610315837665,0.338637285702294,-4.12091974345779,1.05345387078344,1.3817709642394,0.108387227774308,0.155674168504065,FALSE,FALSE,FALSE,1.85576195906272,56.3919975047023,0.621080271187479,"Moderate","4-5"
"CD015968_6","CD015968",6,"MD",3,-0.240820546172168,1.81075405325603,1.57368289328233,0.869076002040472,-3.78983327541391,3.30819218306957,-7.01183154271342,6.53019045036908,1.9078576249536,0.894197635782022,0.892419516380746,FALSE,FALSE,FALSE,0.722676174681843,6.0247178529473,0.57208063397865,"Moderate","2-3"
"CD015968_7","CD015968",7,"MD",3,-0.579080487314513,0.747688138472675,0.252492773857411,0.33769797976625,-2.04452231038875,0.886361335759727,-1.66546920999412,0.50730823536509,0.741338690880645,0.438638311621832,0.148815386664192,FALSE,FALSE,FALSE,0,0,0.343677530987216,"Low","2-3"
"CD015968_8","CD015968",8,"MD",2,-3.88719692791485,5.06733622527656,5.06733622527656,1,-13.8189934270121,6.04459957118236,-68.2738084733136,60.4994146174839,6.48287664283611,0.443016980770793,0.583420870757456,FALSE,FALSE,FALSE,31.5813291727139,43.8629571843247,0.798241813295213,"High","2-3"
